[ 2021-01-09 12:18:05,734 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 12:18:05,738 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:18:05,750 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:18:05,827 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 12:18:05,833 ] Disconnected from gameserver
[ 2021-01-09 12:18:06,794 ] News query failed: "Unrecognized event news."
[ 2021-01-09 15:03:18,908 ] Asset loading complete
[ 2021-01-09 15:03:24,052 ] News query failed: "Unrecognized event news."
[ 2021-01-09 15:03:28,201 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-01-09 15:03:28,205 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 15:03:28,215 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 15:03:29,803 ] News query failed: "Unrecognized event news."
[ 2021-01-09 15:03:47,822 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error decoding: http://127.0.0.1/?subtopic=error: Unsupported image format
[ 2021-01-09 15:03:47,822 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error decoding: http://127.0.0.1/?subtopic=error: Unsupported image format
[ 2021-01-09 15:31:09,236 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 15:31:09,285 ] Disconnected from gameserver
[ 2021-01-09 15:31:09,703 ] News query failed: "Unrecognized event news."
[ 2021-01-09 15:32:56,389 ] Asset loading complete
[ 2021-01-09 15:33:08,333 ] News query failed: "Unrecognized event news."
[ 2021-01-09 15:33:08,967 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Druid Sample" )
[ 2021-01-09 15:33:08,974 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "LepiigorTV"
[ 2021-01-09 15:33:08,985 ] Connected to gameserver  "tcp://127.0.0.1:7172" "LepiigorTV"
[ 2021-01-09 15:33:10,018 ] News query failed: "Unrecognized event news."
[ 2021-01-09 15:33:13,922 ] Connection to gameserver  "tcp://127.0.0.1:7172" "LepiigorTV"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 15:33:13,966 ] Disconnected from gameserver
[ 2021-01-09 15:33:14,305 ] News query failed: "Unrecognized event news."
[ 2021-04-26 16:00:03,615 ] Asset loading complete
[ 2021-04-26 16:02:33,535 ] Asset loading complete
[ 2021-04-26 16:02:39,165 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-04-26 16:02:39,912 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "[CS] Lymph" )
[ 2021-04-26 16:02:39,918 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-04-26 16:02:39,929 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-04-26 16:02:40,955 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-04-26 16:07:18,157 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-04-26 16:07:18,199 ] Disconnected from gameserver
[ 2021-04-26 16:07:18,262 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-04-26 22:46:29,134 ] Asset loading complete
[ 2021-04-26 22:46:32,270 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-04-26 22:46:33,462 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-04-26 22:46:33,467 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-04-26 22:46:33,477 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-04-26 22:46:33,485 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-04-26 22:46:33,488 ] Disconnected from gameserver
[ 2021-04-26 22:46:34,505 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-04-26 22:46:39,659 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-04-26 23:03:31,944 ] Asset loading complete
[ 2021-04-26 23:03:38,049 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-04-26 23:03:38,529 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-04-26 23:03:38,535 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-04-26 23:03:39,584 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-04-26 23:03:42,621 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
